名称,ひらがな,カプ名フラグ,1文字目,2文字目,3文字目,4文字目
神様,かみさま,0,1,2,1,1
雷,かみなり,0,1,2,1,2
下流,かりゅう,0,1,3,3,0
ガレージ,がれーじ,0,1,4,2,0
代わり,かわりに,0,1,1,2,2
看護婦,かんごふ,0,1,7,5,3
観察,かんさつ,0,1,7,1,3
感心,かんしん,0,1,7,2,7
関心,かんしん,0,1,7,2,7
完成編,かんせい,0,1,7,4,2
感想,かんそう,0,1,7,5,3
関東（地方）,かんとう,0,1,7,5,3
館内,かんない,0,1,7,1,2
願望,がんぼう,0,1,7,5,3
機関,きかん,0,2,1,7,
企業,きぎょう,0,2,5,3,0
喫煙,きつえん,0,2,3,4,7
空室,くうしつ,0,3,3,2,3
空車,くうしゃ,0,3,3,1,0
クーラー,くーらー,0,3,1,0,0
くちばし,くちばし,0,3,2,1,2
唇,くちびる,0,3,2,2,3
グリーン,ぐりーん,0,3,2,7,0
黒帯,くろおび,0,3,5,5,2
軍隊,ぐんたい,0,3,7,1,2
訓練,くんれん,0,3,7,4,7
経営,けいえい,0,4,2,4,2
計画,けいかく,0,4,2,1,3
形式,けいしき,0,4,2,2,2
化粧,けしょう,0,4,5,3,0
血液,けつえき,0,4,3,4,2
欠席,けっせき,0,4,6,4,2
月末,げつまつ,0,4,3,1,3
限界,げんかい,0,4,7,1,2
現在,げんざい,0,4,7,1,2
現実,げんじつ,0,4,7,2,3
検討,けんとう,0,4,7,5,3
航海,こうかい,0,5,3,1,2
後悔,こうかい,0,5,3,1,2
工学,こうがく,0,5,3,1,3
後者,こうしゃ,0,5,3,1,0
洪水,こうずい,0,5,3,3,2
行動,こうどう,0,5,3,5,3
校内,こうない,0,5,3,1,2
後輩,こうはい,0,5,3,1,2
後半,こうはん,0,5,3,1,7
興奮,こうふん,0,5,3,3,7
コーナー,こーなー,0,5,1,0,0
ゴールド,ごーるど,0,5,3,5,0
国籍,こくせき,0,5,3,4,2
黒板,こくばん,0,5,3,1,7
国民,こくみん,0,5,3,2,7
ごちそう,ごちそう,0,5,2,5,3
ことわざ,ことわざ,0,5,5,1,1
今回,こんかい,0,5,7,1,2
コンビニ,こんびに,0,5,7,2,2
最高,さいこう,0,1,2,5,3
細胞,さいぼう,0,1,2,5,3
逆さま,さかさま,0,1,1,1,1
作業,さぎょう,0,1,5,3,0
作詞家,さくしか,0,1,3,2,1
昨年,さくねん,0,1,3,4,7
昨晩,さくばん,0,1,3,1,7
作品,さくひん,0,1,3,2,7
作物,さくもつ,0,1,3,5,3
錯覚,さっかく,0,1,6,1,3
参考,さんこう,0,1,7,5,3
算数,さんすう,0,1,7,3,3
時給,じきゅう,0,2,3,3,0
下書き,したがき,0,2,1,1,2
実感,じっかん,0,2,6,1,7
実現,じつげん,0,2,3,4,7
室内,しつない,0,2,3,1,2
締切,しめきり,0,2,4,2,2
社員,しゃいん,0,1,2,7,0
車線,しゃせん,0,1,4,7,0
車内,しゃない,0,1,1,2,0
主演,しゅえん,0,3,4,7,0
出荷,しゅっか,0,3,6,1,0
出世,しゅっせ,0,3,6,4,0
上位,じょうい,0,5,3,2,0
将棋,しょうぎ,0,5,3,2,0
上司,じょうし,0,5,3,2,0
勝負,しょうぶ,0,5,3,3,0
食費,しょくひ,0,5,3,2,0
助言,じょげん,0,5,4,7,0
女優,じょゆう,0,5,3,3,0
知り合い,しりあい,0,2,2,1,2
シリーズ,しりーず,0,2,2,3,0
シルバー,しるばー,0,2,3,1,0
白帯,しろおび,0,2,5,5,2
進学,しんがく,0,2,7,1,3
新作,しんさく,0,2,7,1,3
新車,しんしゃ,0,2,7,1,0
申請,しんせい,0,2,7,4,2
人生,じんせい,0,2,7,4,2
親せき,しんせき,0,2,7,4,2
心臓,しんぞう,0,2,7,5,3
親友,しんゆう,0,2,7,3,3
信頼,しんらい,0,2,7,1,2
吸い殻,すいがら,0,3,2,1,1
数学,すうがく,0,3,3,1,3
数人,すうにん,0,3,3,2,7
ストーブ,すとーぶ,0,3,5,3,0
スピード,すぴーど,0,3,2,5,0
スリップ,すりっぷ,0,3,2,6,3
性格,せいかく,0,4,2,1,3
生産,せいさん,0,4,2,1,7
政治家,せいじか,0,4,2,2,1
清書,せいしょ,0,4,2,5,0
成人,せいじん,0,4,2,2,7
生物,せいぶつ,0,4,2,3,3
成分,せいぶん,0,4,2,3,7
西洋,せいよう,0,4,2,5,3
セールス,せーるす,0,4,3,3,0
石炭,せきたん,0,4,2,1,7
節約,せつやく,0,4,3,1,3
全員,ぜんいん,0,4,7,2,7
前回,ぜんかい,0,4,7,1,2
選挙,せんきょ,0,4,7,5,0
センサー,せんさー,0,4,7,1,0
選手,せんしゅ,0,4,7,3,0
選択,せんたく,0,4,7,1,3
宣伝,せんでん,0,4,7,4,7
先輩,せんぱい,0,4,7,1,2
前半,ぜんはん,0,4,7,1,7
専用,せんよう,0,4,7,5,3
総菜,そうざい,0,5,3,1,2
その辺,そのへん,0,5,5,4,7
それぞれ,それぞれ,0,5,4,5,4
退学,たいがく,0,1,2,1,3
体験,たいけん,0,1,2,4,7
退社,たいしゃ,0,1,2,1,0
タイトル,たいとる,0,1,2,5,3
題名,だいめい,0,1,2,4,2
達成,たっせい,0,1,6,4,2
暖冬,だんとう,0,1,7,5,3
男優,だんゆう,0,1,7,3,3
段落,だんらく,0,1,7,1,3
地球,ちきゅう,0,2,3,3,0
チャイム,ちゃいむ,0,1,2,3,0
調査,ちょうさ,0,5,3,1,0
通勤,つうきん,0,3,3,2,7
通訳,つうやく,0,3,3,1,3
つけ物,つけもの,0,3,4,5,5
つま先,つまさき,0,3,1,1,2
梅雨明け,つゆあけ,0,3,3,1,4
提案,ていあん,0,4,2,1,7
出来事,できごと,0,4,2,5,5
適性,てきせい,0,4,2,4,2
デザート,でざーと,0,4,1,5,0
鉄道,てつどう,0,4,3,5,3
店員,てんいん,0,4,7,2,7
伝言,でんごん,0,4,7,5,7
点数,てんすう,0,4,7,3,3
点滅,てんめつ,0,4,7,4,3
東海（地方）,とうかい,0,5,3,1,2
東洋,とうよう,0,5,3,5,3
読書,どくしょ,0,5,3,5,0
年寄り,としより,0,5,2,5,2
途中,とちゅう,0,5,3,3,0
読解,どっかい,0,5,6,1,2
努力,どりょく,0,5,5,3,0
内容,ないよう,0,1,2,5,3
長そで,ながそで,0,1,1,5,4
長旅,ながたび,0,1,1,1,2
中指,なかゆび,0,1,1,3,2
納豆,なっとう,0,1,6,5,3
納得,なっとく,0,1,6,5,3
南北,なんぼく,0,1,7,5,3
似顔絵,にがおえ,0,2,1,5,4
偽物,にせもの,0,2,4,5,5
人間,にんげん,0,2,7,4,7
値上がり,ねあがり,0,4,1,1,2
値下がり,ねさがり,0,4,1,1,2
年末,ねんまつ,0,4,7,1,3
年齢,ねんれい,0,4,7,4,2
灰色,はいいろ,0,1,2,2,5
俳優,はいゆう,0,1,2,3,3
拍手,はくしゅ,0,1,3,3,0
働き,はたらき,0,1,1,1,2
発生,はっせい,0,1,6,4,2
発展,はってん,0,1,6,4,7
パレード,ぱれーど,0,1,4,5,0
半額,はんがく,0,1,7,1,3
半径,はんけい,0,1,7,4,2
半そで,はんそで,0,1,7,5,4
判断,はんだん,0,1,7,1,7
ハンドル,はんどる,0,1,7,5,3
犯人,はんにん,0,1,7,2,7
反応,はんのう,0,1,7,5,3
日当り,ひあたり,0,2,1,1,2
日帰り,ひがえり,0,2,1,4,2
ヒット,ひっと,0,2,6,5,
〜人たち,ひとたち,0,2,5,1,2
表示,ひょうじ,0,5,3,2,0
美容師,びようし,0,2,5,3,2
品質,ひんしつ,0,2,7,2,3
風景,ふうけい,0,3,3,4,2
富士山,ふじさん,0,3,2,1,7
豚肉,ぶたにく,0,3,1,2,3
部長,ぶちょう,0,3,5,3,0
ブラウン,ぶらうん,0,3,1,3,7
ブラック,ぶらっく,0,3,1,6,3
ブランド,ぶらんど,0,3,1,7,5
フルーツ,ふるーつ,0,3,3,3,0
ふるさと,ふるさと,0,3,3,1,5
ブレーキ,ぶれーき,0,3,4,2,0
文型,ぶんけい,0,3,7,4,2
文系,ぶんけい,0,3,7,4,2
平均,へいきん,0,4,2,2,7
平年,へいねん,0,4,2,4,7
平面,へいめん,0,4,2,4,7
ベランダ,べらんだ,0,4,1,7,1
変更,へんこう,0,4,7,5,3
返品,へんぴん,0,4,7,2,7
方言,ほうげん,0,5,3,4,7
ホワイト,ほわいと,0,5,1,2,5
本人,ほんにん,0,5,7,2,7
本文,ほんぶん,0,5,7,3,7
本物,ほんもの,0,5,7,5,5
本来,ほんらい,0,5,7,1,2
マイナス,まいなす,0,1,2,1,3
満員,まんいん,0,1,7,2,7
漫才,まんざい,0,1,7,1,2
満室,まんしつ,0,1,7,2,3
満車,まんしゃ,0,1,7,1,0
満足,まんぞく,0,1,7,5,3
湖,みずうみ,0,2,3,3,2
みそ汁,みそしる,0,2,5,2,3
夢中,むちゅう,0,3,3,3,0
名言,めいげん,0,4,2,4,7
迷惑,めいわく,0,4,2,1,3
メーカー,めーかー,0,4,1,0,0
免許,めんきょ,0,4,7,5,0
面接,めんせつ,0,4,7,4,3
桃色,ももいろ,0,5,5,2,5
焼き肉,やきにく,0,1,2,2,3
役者,やくしゃ,0,1,3,1,0
役割,やくわり,0,1,3,1,2
山火事,やまかじ,0,1,1,1,2
山小屋,やまごや,0,1,1,5,1
友人,ゆうじん,0,3,3,2,7
雪国,ゆきぐに,0,3,2,3,2
指先,ゆびさき,0,3,2,1,2
用例,ようれい,0,5,3,4,2
世の中,よのなか,0,5,5,1,1
予備校,よびこう,0,5,2,5,3
ラーメン,らーめん,0,1,4,7,0
ライオン,らいおん,0,1,2,5,7
ライバル,らいばる,0,1,2,1,3
落石,らくせき,0,1,3,4,2
ラグビー,らぐびー,0,1,3,2,0
リーダー,りーだー,0,2,1,0,0
冷凍,れいとう,0,4,2,5,3
レシート,れしーと,0,4,2,5,0
列島,れっとう,0,4,6,5,3
レポート,れぽーと,0,4,5,5,0
恋愛,れんあい,0,4,7,1,2
連想,れんそう,0,4,7,5,3
ろうそく,ろうそく,0,5,3,5,3
ロボット,ろぼっと,0,5,5,6,5
我が社,わがしゃ,0,1,1,1,0
若者,わかもの,0,1,1,5,5
割合,わりあい,0,1,2,1,2
